,itr_num,sub_problem,fval,solution,best_fval,best_solution,qaoa_time
0,1,[ 2  3 36 83 87  6 53],0.18921645671254958,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.22781110267217006,"[0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0]",0.8740274906158447
1,2,[63 14 21 22 32 41 29],0.16839524245955087,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.18921645671254958,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.8004105091094971
2,3,[84 86 56 42  1  5 73],0.15107775057545214,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.16839524245955087,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.7908918857574463
3,4,[71 34 72 68 45 44 27],0.1467536702990554,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.15107775057545214,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.8043625354766846
4,5,[69 76 75 19 59 61 54],0.14354569826111044,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.1467536702990554,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.8957419395446777
5,6,[37 49 27  8 20 65 15],0.14209753423156868,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.14354569826111044,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.8223795890808105
6,7,[59 61 54 18 60 82  8],0.14139237790716086,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.14209753423156868,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.7967839241027832
7,8,[20 43 39 65 15 47 13],0.14122518429874975,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.14139237790716086,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.8160014152526855
8,9,[18 60 43 39 82 15 65],0.14079356060103773,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.14122518429874975,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.857464075088501
9,10,[15 60 47 82 39 43 13],0.14079356060103776,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.14079356060103773,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.8319687843322754
