,itr_num,exe_count,fval,solution,best_fval,best_solution,qaoa_total,impact_time,exe_total
0,1,1,0.2022263702274133,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",0.2022263702274133,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",31.683067083358765,0.0006403923034667969,31.694060564041138
1,2,1,0.17379230651416666,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",0.17379230651416666,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",29.900705575942993,0.0008487701416015625,29.91191339492798
2,3,1,0.15697069566857139,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",0.15697069566857139,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",32.79027485847473,0.0008096694946289062,32.802162170410156
3,4,1,0.14716367141429296,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",0.14716367141429296,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",32.96917414665222,0.0008158683776855469,32.9803512096405
4,5,1,0.1440540929134919,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",0.1440540929134919,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",27.743209838867188,0.0008139610290527344,27.755210161209106
5,6,1,0.14228273315404474,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",0.14228273315404474,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",31.655513525009155,0.0008184909820556641,31.66668963432312
6,7,1,0.14133398698126967,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",0.14133398698126967,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",29.057498455047607,0.0008120536804199219,29.0686457157135
7,8,1,0.14079906978313073,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",0.14079906978313073,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",25.99157738685608,0.0008094310760498047,26.00348424911499
8,9,1,0.14079356060103776,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",0.14079356060103776,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",30.288614511489868,0.0008189678192138672,30.29978346824646
9,10,1,0.14079356060103776,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",0.14079356060103776,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",36.39195799827576,0.0008103847503662109,36.40310883522034
