,itr_num,sub_problem,fval,solution,best_fval,best_solution,qaoa_time
0,1,[30  2  3 88 83 87  7],0.2022263702274133,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",0.2857990301430514,"[1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1]",31.683067083358765
1,2,[77  0 52 63 40 16  9],0.17379230651416666,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",0.2022263702274133,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",29.900705575942993
2,3,[86 53 78 17 14 11  6],0.15697069566857139,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",0.17379230651416666,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",32.79027485847473
3,4,[32 22 41 57 79 67  5],0.14716367141429296,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",0.15697069566857139,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",32.96917414665222
4,5,[28 76 19 24 59 61 13],0.1440540929134919,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",0.14716367141429296,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",27.743209838867188
5,6,[66 34 37 10 27 58 82],0.14228273315404474,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",0.1440540929134919,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",31.655513525009155
6,7,[59 61 13 60 15 39 43],0.14133398698126967,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",0.14228273315404474,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",29.057498455047607
7,8,[27 58 82 47 60 13 18],0.14079906978313073,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",0.14133398698126967,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",25.99157738685608
8,9,[15 39 43 65 20 23 58],0.14079356060103776,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",0.14079906978313073,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",30.288614511489868
9,10,[15 60 47 82 39 43 13],0.14079356060103776,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",0.14079356060103776,"[0.0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 1.0, 1, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0, 1, 0.0, 1.0, 0, 0.0, 1, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 0.0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0.0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1, 0, 1.0, 0.0, 1, 0, 1.0, 0.0, 0.0]",36.39195799827576
